Element,Transition,Theoretical_eV,Experimental_eV
Cu,L 3 edge,939.85,933.04
Zn,KL 1,8465.23,
Zn,KL 2,8616.22,8615.823
Zn,KL 3,8639.10,8638.906
Zn,KM 1,9522.7,
Zn,KM 2,9570.8,9572.03
Zn,KM 3,9573.6,9572.03
Zn,KM 4,9650.97,9649.9
Zn,KM 5,9651.31,9649.9
Zn,KN 1,9659.54,
Zn,KN 2,9658.05,1
Zn,KN 3,9658.05,1
Zn,K edge,9668.55,9660.755
Zn,L 1 M 1,1057.5,
Zn,L 1 M 2,1105.6,1107.0
Zn,L 1 M 3,1108.4,1107.0
Zn,L 1 M 4,1185.7,
Zn,L 1 M 5,1186.1,
Zn,L 1 N 1,1194.31,
Zn,L 1 edge,1203.31,949.3
Zn,L 2 M 1,906.5,906.3
Zn,L 2 M 2,954.6,
Zn,L 2 M 3,957.4,
Zn,L 2 M 4,1034.76,1034.65
Zn,L 2 M 5,1035.10,
Zn,L 2 N 1,1043.33,
Zn,L 2 edge,1052.33,1045.21
Zn,L 3 M 1,883.6,884.3
Zn,L 3 M 2,931.7,
Zn,L 3 M 3,934.5,
Zn,L 3 M 4,1011.87,1011.77
Zn,L 3 M 5,1012.21,1011.77
Zn,L 3 N 1,1020.44,
Zn,L 3 edge,1029.45,1022.03
Ga,KL 1,9067.89,
Ga,KL 2,9225.10,9224.835
Ga,KL 3,9251.89,9251.674
Ga,KM 1,10210.4,
Ga,KM 2,10261.8,10260.28
Ga,KM 3,10265.8,10264.19
Ga,KM 4,10349.92,10348.2
Ga,KM 5,10350.49,10348.2
Ga,KN 1,10365.69,
Ga,KN 2,10370.50,10366.42
Ga,KN 3,10366.42,1
Ga,K edge,10377.76,10368.1
Ga,L 1 M 1,1142.5,
Ga,L 1 M 2,1193.9,1196.9
Ga,L 1 M 3,1197.9,1196.9
Ga,L 1 M 4,1282.0,
Ga,L 1 M 5,1282.6,
Ga,L 1 N 1,1297.80,
Ga,L 1 N 2,1302.61,
Ga,L 1 edge,1309.87,1302.7
Ga,L 2 M 1,985.3,984.22
Ga,L 2 M 2,1036.7,
Ga,L 2 M 3,1040.7,
Ga,L 2 M 4,1124.82,1124.76
Ga,L 2 M 5,1125.39,
Ga,L 2 N 1,1140.59,
Ga,L 2 N 2,1145.40,
Ga,L 2 edge,1152.66,1145.02
Ga,L 3 M 1,958.5,957.17
Ga,L 3 M 2,1009.9,
Ga,L 3 M 3,1013.9,
Ga,L 3 M 4,1098.03,1097.97
Ga,L 3 M 5,1098.59,1097.97
Ga,L 3 N 1,1113.79,
Ga,L 3 N 2,1118.61,
Ga,L 3 edge,1125.86,1116.96
Ge,KL 1,9692.08,
Ge,KL 2,9855.67,9855.42
Ge,KL 3,9886.67,9886.52
Ge,KM 1,10924.0,
Ge,KM 2,10979.4,10978.1
Ge,KM 3,10984.0,10982.19
Ge,KM 4,11074.59,11074.8
Ge,KM 5,11075.33,11074.8
Ge,KN 1,11098.72,
Ge,KN 2,11105.84,11100.97
Ge,KN 3,11100.97,1
Ge,K edge,11113.82,11103.76
Ge,L 1 M 1,1231.9,
Ge,L 1 M 2,1287.3,1286.12
Ge,L 1 M 3,1292.0,1294.04
Ge,L 1 M 4,1382.5,
Ge,L 1 M 5,1383.2,
Ge,L 1 N 1,1406.6,
Ge,L 1 N 2,1413.76,
Ge,L 1 edge,1421.74,1413.23
Ge,L 2 M 1,1068.3,1067.98
Ge,L 2 M 2,1123.7,
Ge,L 2 M 3,1128.4,
Ge,L 2 M 4,1218.91,1218.50
Ge,L 2 M 5,1219.65,
Ge,L 2 N 1,1243.05,
Ge,L 2 N 2,1250.17,
Ge,L 2 edge,1258.15,1249.32
Ge,L 3 M 1,1037.3,1036.21
